place,population,income,povertycount
"Freestone County, Texas",19714,24621,7036
"Frio County, Texas",19871,19256,6634
"Gaines County, Texas",20706,23533,8228
"Galveston County, Texas",332885,36819,157014
"Garza County, Texas",6070,19997,1940
"Gillespie County, Texas",26459,34077,12087
"Glasscock County, Texas",1510,31830,738
"Goliad County, Texas",7565,29855,3104
"Gonzales County, Texas",20731,27407,8813
"Gray County, Texas",22410,24686,9016
"Grayson County, Texas",131014,28011,60989
"Gregg County, Texas",123443,26535,55110
"Grimes County, Texas",27984,25638,10670
"Guadalupe County, Texas",158966,31842,74834
"Hale County, Texas",33826,20986,14355
"Hall County, Texas",3048,21907,1239
"Hamilton County, Texas",8332,26930,3409
"Hansford County, Texas",5520,20410,2374
"Hardeman County, Texas",3945,24078,1701
"Hardin County, Texas",56765,30399,24076
"Harris County, Texas",4646630,32765,2248663
"Harrison County, Texas",66580,27086,27934
"Hartley County, Texas",5669,20563,2010
"Haskell County, Texas",5726,20394,2213
"Hays County, Texas",213366,32118,109808
"Hemphill County, Texas",3994,31530,1842
"Henderson County, Texas",81070,26121,32219
"Hidalgo County, Texas",855176,17175,328097
"Hill County, Texas",35689,26370,15427
"Hockley County, Texas",23064,23604,10174
"Hood County, Texas",58318,35606,24812
"Hopkins County, Texas",36486,26821,16402
"Houston County, Texas",22954,19129,8227
"Howard County, Texas",36349,24547,14303
"Hudspeth County, Texas",4415,14239,1162
"Hunt County, Texas",94162,25926,41358
"Hutchinson County, Texas",21344,24434,8780
"Irion County, Texas",1620,28487,664
"Jack County, Texas",8852,24956,3172
"Jackson County, Texas",14816,27051,6602
"Jasper County, Texas",35506,25269,13464
"Jeff Davis County, Texas",2241,26531,763
"Jefferson County, Texas",254340,27094,106092
"Jim Hogg County, Texas",5231,16864,1940
"Jim Wells County, Texas",40972,21510,16016
"Johnson County, Texas",167212,28579,77938
"Jones County, Texas",19943,18081,4994
"Karnes County, Texas",15545,27612,5275
"Kaufman County, Texas",123804,28634,58675
"Kendall County, Texas",43769,45866,20605
"Kenedy County, Texas",568,15211,211
"Kent County, Texas",647,30543,263
"Kerr County, Texas",51843,32988,22320
"Kimble County, Texas",4373,30099,2051
"King County, Texas",237,26199,113
"Kinney County, Texas",3659,23934,1202
"Kleberg County, Texas",30974,22646,12854
"Knox County, Texas",3705,23146,1491
"Lamar County, Texas",49611,25038,21502
"Lamb County, Texas",13123,22337,5591
"Lampasas County, Texas",20862,29412,8951
"La Salle County, Texas",7416,21110,2684
"Lavaca County, Texas",20021,32188,9119
"Lee County, Texas",17058,27227,8153
"Leon County, Texas",17225,30129,6262
"Liberty County, Texas",83702,23461,30771
"Limestone County, Texas",23417,22595,9101
"Lipscomb County, Texas",3398,28131,1611
"Live Oak County, Texas",12139,25370,4504
"Llano County, Texas",21047,37050,7682
"Loving County, Texas",98,33624,33
"Lubbock County, Texas",304808,27922,149699
"Lynn County, Texas",5830,24917,2398
"McCulloch County, Texas",8057,24311,3702
"McLennan County, Texas",251089,25703,114524
"McMullen County, Texas",774,31455,310
"Madison County, Texas",14197,20748,4882
"Marion County, Texas",10017,27566,3715
"Martin County, Texas",5649,30548,2483
"Mason County, Texas",4186,30388,2026
"Matagorda County, Texas",36774,25172,15607
"Maverick County, Texas",58174,16779,21733
"Medina County, Texas",50057,27475,21668
"Menard County, Texas",2119,25742,1058
"Midland County, Texas",168167,39248,85206
"Milam County, Texas",24770,25714,9788
"Mills County, Texas",4889,27374,1939
"Mitchell County, Texas",8523,21136,2795
"Montague County, Texas",19489,28096,8132
"Montgomery County, Texas",571949,41211,272189
"Moore County, Texas",21399,23001,9903
"Morris County, Texas",12373,22971,4992
"Motley County, Texas",1252,29071,574
"Nacogdoches County, Texas",65339,23617,27834
"Navarro County, Texas",48995,23786,21085
"Newton County, Texas",13914,21659,5156
"Nolan County, Texas",14904,25094,6279
"Nueces County, Texas",361540,27740,165051
"Ochiltree County, Texas",10131,23624,4645
"Oldham County, Texas",2094,26408,941
"Orange County, Texas",84069,30114,37674
"Palo Pinto County, Texas",28540,25150,11763
"Panola County, Texas",23327,26577,9547
"Parker County, Texas",133811,35142,62395
"Parmer County, Texas",9718,23859,4374
"Pecos County, Texas",15815,21120,6122
"Polk County, Texas",48913,25164,18869
"Potter County, Texas",119674,22568,51766
"Presidio County, Texas",6975,15337,2460
"Rains County, Texas",11766,27938,5002
"Randall County, Texas",134026,34293,70231
"Reagan County, Texas",3766,25600,1669
"Real County, Texas",3408,18235,1125
"Red River County, Texas",12171,22689,5012
"Reeves County, Texas",15492,20020,5913
"Refugio County, Texas",7145,24248,2770
"Roberts County, Texas",805,30955,357
"Robertson County, Texas",16990,26033,7385
"Rockwall County, Texas",97175,42346,48291
"Runnels County, Texas",10277,24402,4438
"Rusk County, Texas",53755,26658,21176
"Sabine County, Texas",10471,24870,3122
"San Augustine County, Texas",8286,23683,2799
"San Jacinto County, Texas",28180,23312,10300
"San Patricio County, Texas",67008,26054,28539
"San Saba County, Texas",5991,24961,2538
"Schleicher County, Texas",2983,26560,1327
"Scurry County, Texas",17096,24552,6880
"Shackelford County, Texas",3296,24852,1504
"Shelby County, Texas",25349,21950,9650
"Sherman County, Texas",3059,30467,1563
"Smith County, Texas",227449,28483,101856
"Somervell County, Texas",8860,29449,3667
"Starr County, Texas",64078,14179,22056
"Stephens County, Texas",9364,25015,3725
"Sterling County, Texas",1231,28757,631
"Stonewall County, Texas",1476,25638,633
"Sutton County, Texas",3824,26904,1752
"Swisher County, Texas",7432,19697,2783
"Tarrant County, Texas",2049770,33292,1017012
"Taylor County, Texas",136870,27162,63441
"Terrell County, Texas",896,25687,357
"Terry County, Texas",12528,20627,4849
"Throckmorton County, Texas",1436,30463,684
"Titus County, Texas",32640,21730,14466
"Tom Green County, Texas",117986,29505,54481
"Travis County, Texas",1226805,43658,688232
"Trinity County, Texas",14620,25026,5117
"Tyler County, Texas",21518,20249,6600
"Upshur County, Texas",41018,25285,17221
"Upton County, Texas",3659,25447,1428
"Uvalde County, Texas",26920,20329,11188
"Val Verde County, Texas",48969,21370,19297
"Van Zandt County, Texas",55103,27900,22235
"Victoria County, Texas",92109,29199,42129
"Walker County, Texas",72321,18544,26268
"Waller County, Texas",51832,25401,23441
"Ward County, Texas",11658,25931,4946
"Washington County, Texas",35163,32625,15501
"Webb County, Texas",273526,18466,109409
"Wharton County, Texas",41577,25298,18127
"Wheeler County, Texas",5338,27093,2482
"Wichita County, Texas",131596,24872,55764
"Wilbarger County, Texas",12833,23696,6153
"Willacy County, Texas",21588,14888,7639
"Williamson County, Texas",547604,37242,279178
"Wilson County, Texas",49173,32312,21799
"Winkler County, Texas",7867,24467,3346
"Wise County, Texas",66290,29418,30152
"Wood County, Texas",44366,29005,16364
"Yoakum County, Texas",8631,24582,3617
"Young County, Texas",18036,27423,8038
"Zapata County, Texas",14304,20169,5220
"Zavala County, Texas",12039,13835,4285
"Beaver County, Utah",6517,23382,2714
"Box Elder County, Utah",53946,24797,23918
"Cache County, Utah",124165,23713,60820
"Carbon County, Utah",20308,23862,8679
"Daggett County, Utah",613,29574,307
"Davis County, Utah",345767,31205,164139
"Duchesne County, Utah",20148,24573,8129
"Emery County, Utah",10117,23705,4040
"Garfield County, Utah",4998,25247,2184
"Grand County, Utah",9640,27431,5208
"Iron County, Utah",51213,22909,22635
"Juab County, Utah",11301,22830,5044
"Kane County, Utah",7484,26070,3275
"Millard County, Utah",12854,25225,5449
"Morgan County, Utah",11664,31732,4822
"Piute County, Utah",1866,19012,611
"Rich County, Utah",2389,23464,754
"Salt Lake County, Utah",1133646,33238,590125
"San Juan County, Utah",15302,18987,5694
"Sanpete County, Utah",29850,20056,11855
"Sevier County, Utah",21280,23514,9059
"Summit County, Utah",41103,56575,22839
"Tooele County, Utah",67397,25949,31073
"Uintah County, Utah",36084,25759,14911
"Utah County, Utah",605490,26215,280920
"Wasatch County, Utah",31708,35641,15771
"Washington County, Utah",165811,29010,68915
"Wayne County, Utah",2689,22038,1174
"Weber County, Utah",251498,27828,122290
"Addison County, Vermont",36882,34741,20170
"Bennington County, Vermont",35746,33789,17366
"Caledonia County, Vermont",30234,29769,14815
"Chittenden County, Vermont",162646,39062,92058
"Essex County, Vermont",6200,25376,2798
"Franklin County, Vermont",49116,31195,25562
"Grand Isle County, Vermont",7022,39770,3664
"Lamoille County, Vermont",25318,36747,13821
"Orange County, Vermont",28908,31697,15483
"Orleans County, Vermont",26901,27023,12629
"Rutland County, Vermont",58892,31391,29858
"Washington County, Vermont",58350,35236,31131
"Windham County, Vermont",42823,32535,21840
"Windsor County, Vermont",55275,36252,27833
"Accomack County, Virginia",32673,26018,13681
"Albemarle County, Virginia",107405,44799,52965
"Alleghany County, Virginia",15157,27338,5865
"Amelia County, Virginia",12953,31688,6362
"Amherst County, Virginia",31775,26712,14485
"Appomattox County, Virginia",15707,28586,7230
"Arlington County, Virginia",233464,71841,146900
"Augusta County, Virginia",75079,30272,35140
"Bath County, Virginia",4307,27527,1955
"Bedford County, Virginia",78376,33678,36986
"Bland County, Virginia",6388,22522,2305
"Botetourt County, Virginia",33343,35893,16083
"Brunswick County, Virginia",16520,21732,6025
"Buchanan County, Virginia",21788,19496,6405
"Buckingham County, Virginia",17059,20605,6692
"Campbell County, Virginia",55225,27739,26429
"Caroline County, Virginia",30381,31568,13834
"Carroll County, Virginia",29801,25449,12997
"Charles City County, Virginia",7014,35304,3359
"Charlotte County, Virginia",12040,22018,5048
"Chesterfield County, Virginia",343551,37658,175948
"Clarke County, Virginia",14423,41332,7193
"Craig County, Virginia",5110,30103,2415
"Culpeper County, Virginia",51101,32028,24567
"Cumberland County, Virginia",9824,25138,4878
"Dickenson County, Virginia",14756,24978,4352
"Dinwiddie County, Virginia",28485,28922,13745
"Essex County, Virginia",10998,26847,5121
"Fairfax County, Virginia",1145862,56231,613908
"Fauquier County, Virginia",69728,45408,36040
"Floyd County, Virginia",15704,26882,7317
"Fluvanna County, Virginia",26594,39633,12651
"Franklin County, Virginia",56187,30487,24928
"Frederick County, Virginia",86415,35123,43083
"Giles County, Virginia",16772,27137,7483
"Gloucester County, Virginia",37222,33692,17786
"Goochland County, Virginia",22865,51720,11064
"Grayson County, Virginia",15742,21663,6444
"Greene County, Virginia",19519,32508,10035
"Greensville County, Virginia",11525,19550,3899
"Halifax County, Virginia",34552,23909,14561
"Hanover County, Virginia",105537,41200,55625
"Henrico County, Virginia",327535,39516,173089
"Henry County, Virginia",51308,22372,19967
"Highland County, Virginia",2204,31485,874
"Isle of Wight County, Virginia",36627,37126,17799
"James City County, Virginia",74916,44495,33950
"King and Queen County, Virginia",7042,31174,3220
"King George County, Virginia",26229,38739,13065
"King William County, Virginia",16688,30704,8277
"Lancaster County, Virginia",10724,40062,4267
"Lee County, Virginia",23948,19720,7860
"Loudoun County, Virginia",395134,55744,214991
"Louisa County, Virginia",36040,34041,16553
"Lunenburg County, Virginia",12282,19848,4632
"Madison County, Virginia",13170,30777,6204
"Mathews County, Virginia",8788,35731,3581
"Mecklenburg County, Virginia",30728,25056,12145
"Middlesex County, Virginia",10675,31502,4394
"Montgomery County, Virginia",98140,30054,45828
"Nelson County, Virginia",14831,35489,6898
"New Kent County, Virginia",21686,38080,10933
"Northampton County, Virginia",11885,28518,4891
"Northumberland County, Virginia",12190,36261,4781
"Nottoway County, Virginia",15433,24571,5783
"Orange County, Virginia",36010,32292,17007
"Page County, Virginia",23788,25170,10882
"Patrick County, Virginia",17748,24292,7438
"Pittsylvania County, Virginia",61256,26032,27414
"Powhatan County, Virginia",28815,37424,13311
"Prince Edward County, Virginia",22905,21017,8687
"Prince George County, Virginia",38114,29420,15152
"Prince William County, Virginia",461423,40932,237220
"Pulaski County, Virginia",34182,28125,15539
"Rappahannock County, Virginia",7378,41792,3602
"Richmond County, Virginia",8884,22853,3285
"Roanoke County, Virginia",93823,36469,45744
"Rockbridge County, Virginia",22570,31539,9926
"Rockingham County, Virginia",80284,31275,39423
"Russell County, Virginia",27141,21605,9296
"Scott County, Virginia",21902,22898,8342
"Shenandoah County, Virginia",43224,28882,20580
"Smyth County, Virginia",30767,21605,12487
"Southampton County, Virginia",17880,26600,7617
"Spotsylvania County, Virginia",132833,37212,66122
"Stafford County, Virginia",146773,42126,72033
"Surry County, Virginia",6523,30260,3151
"Sussex County, Virginia",11377,21652,4151
"Tazewell County, Virginia",41603,23738,15160
"Warren County, Virginia",39492,32086,19513
"Washington County, Virginia",54071,27524,23678
"Westmoreland County, Virginia",17751,32996,7677
"Wise County, Virginia",38486,21500,12942
"Wythe County, Virginia",28844,27381,13340
"York County, Virginia",67982,41201,30556
"Alexandria city, Virginia",157613,62679,96960
"Bristol city, Virginia",16912,23015,6966
"Buena Vista city, Virginia",6484,21419,2819
"Charlottesville city, Virginia",47096,38328,24865
"Chesapeake city, Virginia",239982,35536,111227
"Colonial Heights city, Virginia",17428,28364,7768
"Covington city, Virginia",5598,25309,2554
"Danville city, Virginia",41070,22826,16463
"Emporia city, Virginia",5442,18494,1895
"Fairfax city, Virginia",23531,50029,12705
"Falls Church city, Virginia",14128,72325,7883
"Franklin city, Virginia",8147,24025,3460
"Fredericksburg city, Virginia",28622,35731,15717
"Galax city, Virginia",6517,23025,2631
"Hampton city, Virginia",135041,30135,61782
"Harrisonburg city, Virginia",53273,23202,25772
"Hopewell city, Virginia",22456,21927,9515
"Lexington city, Virginia",7241,19047,2520
"Lynchburg city, Virginia",80569,23863,36762
"Manassas city, Virginia",41174,33082,21799
"Manassas Park city, Virginia",16986,34326,9340
"Martinsville city, Virginia",12852,22836,5144
"Newport News city, Virginia",179673,28294,81407
"Norfolk city, Virginia",244601,29830,104945
"Norton city, Virginia",3970,21741,1607
"Petersburg city, Virginia",31362,23611,13140
"Poquoson city, Virginia",12090,40258,5757
"Portsmouth city, Virginia",95097,26312,41396
"Radford city, Virginia",17691,21797,8288
"Richmond city, Virginia",226622,33549,116615
"Roanoke city, Virginia",99229,27006,47605
"Salem city, Virginia",25317,31924,12277
"Staunton city, Virginia",24432,30166,12102
"Suffolk city, Virginia",90093,34940,42459
"Virginia Beach city, Virginia",450201,37776,221998
"Waynesboro city, Virginia",22140,27033,10362
"Williamsburg city, Virginia",14927,29758,6394
"Winchester city, Virginia",27897,30859,14073
"Adams County, Washington",19594,20248,7719
"Asotin County, Washington",22421,29695,9708
"Benton County, Washington",197518,32882,88737
"Chelan County, Washington",76229,30870,35694
"Clallam County, Washington",75392,30283,28673
"Clark County, Washington",473252,35860,227108
"Columbia County, Washington",3992,36551,1737
"Cowlitz County, Washington",106778,28876,44679
"Douglas County, Washington",42023,30544,19378
"Ferry County, Washington",7578,25857,2599
"Franklin County, Washington",92009,24380,40135
"Garfield County, Washington",2230,26742,889
"Grant County, Washington",95502,24280,40662
"Grays Harbor County, Washington",72779,27210,28323
"Island County, Washington",82866,37087,32421
"Jefferson County, Washington",31285,36598,11607
"King County, Washington",2195502,52462,1206334
"Kitsap County, Washington",265882,37493,115237
"Kittitas County, Washington",45897,29161,22372
"Klickitat County, Washington",21721,29521,8561
"Lewis County, Washington",78145,27127,31386
"Lincoln County, Washington",10574,28891,4206
"Mason County, Washington",63804,28862,24994
"Okanogan County, Washington",41842,24876,17334
"Pacific County, Washington",21688,26109,7421
"Pend Oreille County, Washington",13377,28046,4743
"Pierce County, Washington",877013,34618,409724
"San Juan County, Washington",16788,45777,7765
"Skagit County, Washington",125612,33168,56470
"Skamania County, Washington",11753,32221,5366
"Snohomish County, Washington",798808,39527,409889
"Spokane County, Washington",505505,31146,232708
"Stevens County, Washington",44655,26896,16739
"Thurston County, Washington",279711,35169,128801
"Wahkiakum County, Washington",4268,31110,1313
"Walla Walla County, Washington",60365,29035,26646
"Whatcom County, Washington",220821,32267,107180
"Whitman County, Washington",49231,23560,23003
"Yakima County, Washington",249697,23459,106018
"Barbour County, West Virginia",16633,22899,6631
"Berkeley County, West Virginia",115329,29994,55876
"Boone County, West Virginia",22368,21751,6527
"Braxton County, West Virginia",14190,22269,5221
"Brooke County, West Virginia",22459,26678,10066
"Cabell County, West Virginia",94339,25271,38148
"Calhoun County, West Virginia",7295,20447,2115
"Clay County, West Virginia",8709,17239,2559
"Doddridge County, West Virginia",8560,24053,3072
"Fayette County, West Virginia",43576,21914,15411
"Gilmer County, West Virginia",8041,18067,2704
"Grant County, West Virginia",11616,23351,4939
"Greenbrier County, West Virginia",35155,24581,13906
"Hampshire County, West Virginia",23309,24259,9327
"Hancock County, West Virginia",29383,26435,13142
"Hardy County, West Virginia",13805,27004,6367
"Harrison County, West Virginia",67908,28879,30358
"Jackson County, West Virginia",28907,25341,11092
"Jefferson County, West Virginia",56506,36305,27683
"Kanawha County, West Virginia",183279,29253,78433
"Lewis County, West Virginia",16166,23820,6178
"Lincoln County, West Virginia",20850,21456,7145
"Logan County, West Virginia",33154,21936,9827
"McDowell County, West Virginia",18661,15047,3782
"Marion County, West Virginia",56355,26380,24737
"Marshall County, West Virginia",31308,26472,12758
"Mason County, West Virginia",26820,24844,10057
"Mercer County, West Virginia",59919,22212,22130
"Mineral County, West Virginia",27167,25490,11596
"Mingo County, West Virginia",24290,20060,7100
"Monongalia County, West Virginia",105474,32154,51107
"Monroe County, West Virginia",13401,23923,5062
"Morgan County, West Virginia",17709,28127,7914
"Nicholas County, West Virginia",25078,22335,9550
"Ohio County, West Virginia",42143,32429,19424
"Pendleton County, West Virginia",7001,25059,2942
"Pleasants County, West Virginia",7482,29974,3003
"Pocahontas County, West Virginia",8450,25201,3355
"Preston County, West Virginia",33683,24890,13301
"Putnam County, West Virginia",56610,31587,25385
"Raleigh County, West Virginia",75252,25026,28557
"Randolph County, West Virginia",28930,24842,11292
"Ritchie County, West Virginia",9844,25606,3541
"Roane County, West Virginia",14020,21711,4584
"Summers County, West Virginia",12848,21437,4279
"Taylor County, West Virginia",16864,25214,6718
"Tucker County, West Virginia",6982,25686,3064
"Tyler County, West Virginia",8811,24924,3127
"Upshur County, West Virginia",24502,24070,9959
"Wayne County, West Virginia",40303,21553,13322
"Webster County, West Virginia",8386,22054,2943
"Wetzel County, West Virginia",15436,22546,5518
"Wirt County, West Virginia",5798,23568,2228
"Wood County, West Virginia",84960,27725,35794
"Wyoming County, West Virginia",21281,22703,6054
"Adams County, Wisconsin",20094,27241,7772
"Ashland County, Wisconsin",15617,23946,7242
"Barron County, Wisconsin",45229,29681,22117
"Bayfield County, Wisconsin",14993,31825,7015
"Brown County, Wisconsin",261368,32874,139043
"Buffalo County, Wisconsin",13126,30503,6841
"Burnett County, Wisconsin",15289,30342,6708
"Calumet County, Wisconsin",49928,35527,27630
"Chippewa County, Wisconsin",63892,29991,31847
"Clark County, Wisconsin",34579,25382,16043
"Columbia County, Wisconsin",57133,34984,30469
"Crawford County, Wisconsin",16235,27615,7412
"Dane County, Wisconsin",536078,40614,308106
"Dodge County, Wisconsin",87715,29726,45274
"Door County, Wisconsin",27472,38744,13759
"Douglas County, Wisconsin",43295,30153,21918
"Dunn County, Wisconsin",44759,28034,23564
"Eau Claire County, Wisconsin",103514,30983,56366
"Florence County, Wisconsin",4314,32348,1931
"Fond du Lac County, Wisconsin",102597,31653,53973
"Forest County, Wisconsin",8995,25700,3701
"Grant County, Wisconsin",51733,25892,26132
"Green County, Wisconsin",36896,33459,20448
"Green Lake County, Wisconsin",18755,29207,8975
"Iowa County, Wisconsin",23618,34114,12594
"Iron County, Wisconsin",5687,28857,2511
"Jackson County, Wisconsin",20522,26481,9386
"Jefferson County, Wisconsin",84701,31992,46211
"Juneau County, Wisconsin",26478,27889,12181
"Kenosha County, Wisconsin",168524,32298,85094
"Kewaunee County, Wisconsin",20387,30921,10699
"La Crosse County, Wisconsin",117894,32565,62533
"Lafayette County, Wisconsin",16715,28448,8565
"Langlade County, Wisconsin",19146,27618,8779
"Lincoln County, Wisconsin",27744,30972,14131
"Manitowoc County, Wisconsin",79185,30130,40604
"Marathon County, Wisconsin",135396,33189,71727
"Marinette County, Wisconsin",40391,28282,18689
"Marquette County, Wisconsin",15304,27922,6967
"Menominee County, Wisconsin",4558,20313,1518
"Milwaukee County, Wisconsin",951226,29270,459843
"Monroe County, Wisconsin",45771,29242,21703
"Oconto County, Wisconsin",37646,30927,19070
"Oneida County, Wisconsin",35381,34910,16612
"Outagamie County, Wisconsin",185700,33221,100360
"Ozaukee County, Wisconsin",88597,49030,47213
"Pepin County, Wisconsin",7265,30827,3710
"Pierce County, Wisconsin",41977,33061,23433
"Polk County, Wisconsin",43438,30859,21516
"Portage County, Wisconsin",70632,31453,37794
"Price County, Wisconsin",13416,28882,6438
"Racine County, Wisconsin",195602,31572,94772
"Richland County, Wisconsin",17459,27597,8295
"Rock County, Wisconsin",162152,28945,79931
"Rusk County, Wisconsin",14132,25854,6441
"St. Croix County, Wisconsin",88732,39287,48941
"Sauk County, Wisconsin",63922,30990,34130
"Sawyer County, Wisconsin",16399,31772,7380
"Shawano County, Wisconsin",40904,29338,20016
"Sheboygan County, Wisconsin",115178,31510,59602
"Taylor County, Wisconsin",20325,27506,10262
"Trempealeau County, Wisconsin",29499,28902,15036
"Vernon County, Wisconsin",30633,26198,13687
"Vilas County, Wisconsin",21751,33316,9363
"Walworth County, Wisconsin",103074,32302,53782
"Washburn County, Wisconsin",15688,29584,7023
"Washington County, Wisconsin",134925,39055,73819
"Waukesha County, Wisconsin",400475,46073,214839
"Waupaca County, Wisconsin",51245,32000,26301
"Waushara County, Wisconsin",24193,28580,10617
"Winnebago County, Wisconsin",170411,32571,87992
"Wood County, Wisconsin",73112,31425,35963
"Albany County, Wyoming",38390,29146,21328
"Big Horn County, Wyoming",11882,24693,5081
"Campbell County, Wyoming",47409,34776,24571
"Carbon County, Wyoming",15247,29552,7286
"Converse County, Wyoming",13921,33693,6643
"Crook County, Wyoming",7472,29532,3455
"Fremont County, Wyoming",39812,28324,18294
"Goshen County, Wyoming",13342,28554,6014
"Hot Springs County, Wyoming",4607,30643,2217
"Johnson County, Wyoming",8487,36084,4220
"Laramie County, Wyoming",98320,35190,47158
"Lincoln County, Wyoming",19274,29747,9189
"Natrona County, Wyoming",80333,33797,41101
"Niobrara County, Wyoming",2422,22958,924
"Park County, Wyoming",29148,35147,13922
"Platte County, Wyoming",8582,35312,4464
"Sheridan County, Wyoming",30140,35254,15193
"Sublette County, Wyoming",9880,35874,5234
"Sweetwater County, Wyoming",43521,32603,21487
"Teton County, Wyoming",23280,54051,14430
"Uinta County, Wyoming",20479,28159,9294
"Washakie County, Wyoming",8027,28101,3777
"Weston County, Wyoming",7049,28531,3221
"Adjuntas Municipio, Puerto Rico",17891,7595,3856
"Aguada Municipio, Puerto Rico",37954,9692,11250
"Aguadilla Municipio, Puerto Rico",52803,11298,13746
"Aguas Buenas Municipio, Puerto Rico",25748,11097,7936
"Aibonito Municipio, Puerto Rico",22988,11363,6970
"Añasco Municipio, Puerto Rico",26934,10603,8429
"Arecibo Municipio, Puerto Rico",85390,10596,23050
"Arroyo Municipio, Puerto Rico",17805,8611,3527
"Barceloneta Municipio, Puerto Rico",24079,9847,6495
"Barranquitas Municipio, Puerto Rico",28393,8537,6938
"Bayamón Municipio, Puerto Rico",178192,14782,65080
"Cabo Rojo Municipio, Puerto Rico",48487,9903,12677
"Caguas Municipio, Puerto Rico",128937,15244,46005
"Camuy Municipio, Puerto Rico",31598,10709,8762
"Canóvanas Municipio, Puerto Rico",45588,12924,14554
"Carolina Municipio, Puerto Rico",153779,16846,58500
"Cataño Municipio, Puerto Rico",24271,12796,7628
"Cayey Municipio, Puerto Rico",43785,12819,13328
"Ceiba Municipio, Puerto Rico",11515,11204,3459
"Ciales Municipio, Puerto Rico",16513,9106,3701
"Cidra Municipio, Puerto Rico",39607,10980,11953
"Coamo Municipio, Puerto Rico",38906,11063,11577
"Comerío Municipio, Puerto Rico",19224,7352,4877
"Corozal Municipio, Puerto Rico",33500,8124,7933
"Culebra Municipio, Puerto Rico",1311,15027,591
"Dorado Municipio, Puerto Rico",36803,16876,12024
"Fajardo Municipio, Puerto Rico",31111,12846,10052
"Florida Municipio, Puerto Rico",11697,9250,3465
"Guánica Municipio, Puerto Rico",16293,7293,3272
"Guayama Municipio, Puerto Rico",40889,10387,9851
"Guayanilla Municipio, Puerto Rico",18514,9136,4762
"Guaynabo Municipio, Puerto Rico",86937,24887,35336
"Gurabo Municipio, Puerto Rico",46910,18518,18043
"Hatillo Municipio, Puerto Rico",39950,11144,12538
"Hormigueros Municipio, Puerto Rico",15943,12479,4909
"Humacao Municipio, Puerto Rico",52507,13043,15158
"Isabela Municipio, Puerto Rico",41707,9002,10584
"Jayuya Municipio, Puerto Rico",14539,7308,3219
"Juana Díaz Municipio, Puerto Rico",46152,10550,14463
"Juncos Municipio, Puerto Rico",38780,10222,11980
"Lajas Municipio, Puerto Rico",22835,7432,4873
"Lares Municipio, Puerto Rico",25696,9091,6608
"Las Marías Municipio, Puerto Rico",8370,7585,2170
"Las Piedras Municipio, Puerto Rico",37499,11475,10708
"Loíza Municipio, Puerto Rico",25778,9335,7764
"Luquillo Municipio, Puerto Rico",18224,11123,5522
"Manatí Municipio, Puerto Rico",38836,11084,10623
"Maricao Municipio, Puerto Rico",6075,6118,1200
"Maunabo Municipio, Puerto Rico",10776,9319,2095
"Mayagüez Municipio, Puerto Rico",75232,10994,18307
"Moca Municipio, Puerto Rico",36161,10342,9584
"Morovis Municipio, Puerto Rico",30962,9728,8757
"Naguabo Municipio, Puerto Rico",26075,9283,7124
"Naranjito Municipio, Puerto Rico",28112,9120,7216
"Orocovis Municipio, Puerto Rico",20982,8299,4737
"Patillas Municipio, Puerto Rico",16929,9636,4093
"Peñuelas Municipio, Puerto Rico",20383,9480,5133
"Ponce Municipio, Puerto Rico",139671,11393,37760
"Quebradillas Municipio, Puerto Rico",23629,10451,6969
"Rincón Municipio, Puerto Rico",14056,12507,4654
"Río Grande Municipio, Puerto Rico",49613,11341,16901
"Sabana Grande Municipio, Puerto Rico",22560,9810,6407
"Salinas Municipio, Puerto Rico",28109,9557,7928
"San Germán Municipio, Puerto Rico",31442,10535,7749
"San Juan Municipio, Puerto Rico",335468,19361,123077
"San Lorenzo Municipio, Puerto Rico",37209,11307,11034
"San Sebastián Municipio, Puerto Rico",37120,9498,9087
"Santa Isabel Municipio, Puerto Rico",21757,11596,7994
"Toa Alta Municipio, Puerto Rico",72864,14661,27537
"Toa Baja Municipio, Puerto Rico",77810,13106,27634
"Trujillo Alto Municipio, Puerto Rico",66338,16482,27259
"Utuado Municipio, Puerto Rico",28676,8683,6220
"Vega Alta Municipio, Puerto Rico",37106,11735,10207
"Vega Baja Municipio, Puerto Rico",52192,11116,14915
"Vieques Municipio, Puerto Rico",8642,10426,2467
"Villalba Municipio, Puerto Rico",22403,10894,6579
"Yabucoa Municipio, Puerto Rico",33499,9929,8611
"Yauco Municipio, Puerto Rico",35428,8404,8532
